309797,2721648,5781,7112
304158,2756196,9080,11946
282853,2744018,19289,10581
309446,2731272,4073,47304
288067,2714989,21996,16107
306510,2773656,6977,3471
275911,2734529,11934,17450
266649,2743604,47119,5993
252479,2716043,29901,25628
251334,2781190,21555,3988
295395,2765258,3314,14846
294379,2762739,15285,7842
309930,2727548,229,1886
283666,2782463,20391,2712
301606,2760003,12261,15849
270661,2748793,8229,21200
250661,2751195,27900,16789
310214,2722984,1542,28821
297158,2776955,788,4545
308872,2773580,6446,8521
252236,2766991,15150,10967
271378,2739693,42752,39210
250477,2725548,612,10069
301931,2781446,12339,1159
253823,2729403,11151,6491
285977,2765246,14035,15317
293271,2767536,16919,14101
276071,2743258,3627,7975
286140,2731665,23190,32309
298924,2743891,11838,15977
303401,2776466,8096,4516
260391,2728571,50340,30545
256063,2751138,40876,30652
291592,2755489,5742,1276
301712,2733170,638,1117
258027,2743077,55210,15316
292969,2735298,2258,9
280536,2727280,14995,17240
255655,2734078,39395,4871
252174,2772916,49705,934
281326,2716170,13496,30074
308455,2722210,4056,36620
273741,2757384,14156,10306
299153,2739539,2085,31706
290376,2719320,1237,51423
315666,2780304,31,50
283876,2716236,3631,67132
302183,2774862,6046,1158
307528,2728240,2875,13715
299981,2741706,14549,22471
288116,2755203,13227,11485
288630,2776829,3115,5491
249417,2776386,53452,2368
274460,2776645,29771,4712
296431,2783874,7654,1281
304165,2776148,5030,7484
256637,2716699,58747,54401
290669,2731599,5905,52013
249387,2739948,55746,14208
252042,2770684,53573,6809
298699,2735380,15108,39336
310344,2775847,3778,7422
297468,2766155,2436,13363
297698,2752750,14690,11433
250005,2735936,38589,16270
310906,2776277,918,7577
252774,2725124,31678,58140
289555,2741123,680,3657
263655,2744161,21863,10719
294977,2724220,9390,33789
310783,2770353,1661,10052
294707,2762974,6110,4207
273794,2758553,29245,10368
309036,2730466,1344,3843
315335,2717522,51,55566
276646,2724689,31271,31540
281773,2763313,22532,21667
281364,2779376,2203,4336
289838,2745629,3849,451
273093,2773073,40659,3559
267293,2761376,3293,14705
302455,2770996,5964,2051
302914,2783069,3742,1052
297557,2774650,7427,8832
261870,2784418,37212,476
253398,2712613,48313,72431
282857,2766028,25533,11732
265613,2743230,35801,30918
250021,2765459,65587,15901
286739,2772148,11101,7025
265867,2772991,22041,6253
261160,2777770,29596,5125
282711,2777732,12427,1433
299868,2716529,14194,11065
310535,2731708,4820,34699
252695,2758595,47786,4266
292724,2745547,15708,33933
286197,2768721,1794,4393
258509,2719976,52889,26846
272406,2727516,13054,57429
265295,2748429,6180,36191
276692,2734724,4236,47537
285302,2750735,26635,18434
299446,2741160,12731,33392
270381,2722191,3484,34432
301190,2748722,13302,10709
279979,2726604,9738,22510
259374,2750486,42114,25578
305906,2747105,6178,34652
299341,2780099,4278,1275
276444,2740218,36429,33468
314857,2751403,87,16020
314643,2712876,599,63407
260605,2753031,47876,11673
267634,2764822,1982,11056
283906,2723611,21514,29405
295244,2771655,16574,3253
285313,2734851,3166,47772
269283,2752231,22440,13739
263647,2731279,23668,2201
257965,2761410,15088,13814
312011,2781472,3520,1770
309859,2730050,5439,19141
315628,2773490,129,1913
276836,2733264,8121,3977
301417,2781774,8797,740
311803,2731214,3050,31647
265154,2713561,7307,67440
268553,2742667,6820,11372
260101,2771408,3373,11434
247577,2740134,37213,24006
298904,2740654,369,41520
301787,2736187,10977,5069
281290,2743568,29598,37914
290397,2717050,8616,14427
280424,2743357,15436,11680
264535,2730638,29986,23698
292702,2782966,8360,1218
313352,2753735,2253,20474
272465,2759190,890,24741
307410,2759662,6735,23525
267760,2733942,32526,38409
268640,2748293,7347,25567
292864,2741949,15114,13951
249563,2763731,2815,20305
251494,2743585,57786,34170
285683,2724387,24752,18593
267404,2764241,16400,8299
285345,2767344,18421,12513
300562,2755887,942,11049
247692,2749525,11439,19769
264753,2724360,25670,28173
310659,2764681,1959,507
277167,2755209,8112,10864
275590,2733796,321,19564
270636,2745342,21784,39705
302847,2720349,7381,14290
300216,2750517,8930,22307
278892,2712417,11461,70780
267807,2762700,25615,11971
309134,2773529,3395,8862
266957,2781638,47950,302
299471,2747410,6009,37614
298016,2750012,17416,20979
255262,2784005,58724,1222
248284,2735148,16471,47117
271560,2778349,27082,5278
281996,2762462,10929,9981
296590,2773500,486,11648
264970,2781909,21598,3098
255930,2758082,9242,1587
289134,2748415,22886,19780
260453,2745398,48930,22207
291561,2750231,8580,1700
285594,2717184,19098,6048
254644,2782405,37670,381
257928,2713214,54615,50570
263361,2764718,14918,14570
293961,2749823,10786,16858
304180,2742020,2858,38243
298809,2713833,8667,71315
301553,2773272,682,7206
307674,2773234,2852,6150
268734,2720235,35396,21500
312508,2755388,2034,23969
263511,2775757,51409,5013
261436,2718743,31394,6009
290706,2743669,12149,8844
252547,2766928,14542,6129
315714,2782345,41,877
299569,2715490,3815,4158
309330,2764877,6319,9685
308982,2729784,297,23207
264876,2784431,46514,785
300727,2740071,7532,12472
304854,2778019,10065,6058
272220,2748000,14841,15922
306289,2749784,7500,32225
257593,2760533,52826,6649
280443,2762035,24692,8986
306741,2743922,6570,6316
300882,2744335,8933,16405
304332,2757737,2935,7181
285499,2765084,22925,17479
251936,2721805,40775,18706
272275,2770937,15089,9670
246976,2763631,47751,5156
273656,2738282,12158,28593
263209,2736578,11528,19926
282184,2765638,10885,18243
289168,2727917,16734,13649
311660,2754929,4,5164
258336,2752113,38909,30507
263109,2785132,15254,39
260412,2724703,8205,22341
277709,2778292,20833,1776
261567,2775841,23571,3817
256268,2726576,54426,32441
262881,2715521,26143,19400
315788,2729597,32,43663
262171,2769930,40984,2978
311492,2771277,87,7550
310851,2733563,1099,19847
291010,2759749,18387,8791
271563,2783139,19244,1718
305117,2720874,5931,29565
268851,2772758,21108,3106
305621,2723701,1412,38042
279999,2774696,35814,6593
295588,2738378,15002,25427
287547,2780646,3307,4290
258812,2781718,5840,1657
275101,2730702,20922,33707
252677,2782496,15520,1724
289260,2779995,18121,765
271856,2744101,30533,20477
270781,2774981,38124,8877
278440,2779871,14986,2452
252426,2717446,61429,44666
264388,2744156,38482,23669
310200,2726174,4973,33571
286376,2738431,23247,41760
255962,2758179,49881,10099
286083,2719712,5677,1701
308206,2730619,4417,24244
253847,2726157,4432,37223
249636,2773952,31998,551
292367,2758824,9086,14319
249992,2724193,13291,18007
250417,2782242,17883,2747
279414,2758545,13544,26495
278144,2723925,10125,59692
270683,2731303,7802,195
247551,2784828,52339,222
288863,2722042,12655,3538
297406,2773186,7858,9595
299401,2767259,16136,16236
255887,2762269,4236,13672
275598,2727152,38601,5634
287088,2744326,22661,3747
311462,2734934,1882,37553
270344,2762072,16800,22445
253450,2776553,43290,419
310614,2778164,2431,3063
276574,2724316,17398,48220
287453,2742310,5852,10880
309335,2762519,1566,16534
303022,2716175,11111,64180
266443,2732809,1679,32850
288371,2757519,14664,2350
249265,2766799,19871,16476
300425,2730058,40,24767
247450,2729772,15954,31604
279285,2712820,5153,49973
275242,2782971,37605,1316
268090,2731469,3763,31998
273046,2736467,15172,17060
257188,2736438,49092,11072
286679,2731709,3432,46137
247666,2729398,33139,52204
300104,2754984,4353,18132
