90395,95232
92451,99435
98458,99407
90744,97911
94842,98967
94563,93913
91742,98160
96826,91687
93879,97027
96567,95599
93127,94888
90899,90840
97599,97576
95650,94277
91046,98097
92785,92602
99872,93898
97836,94804
95280,92191
93047,99653
96467,91237
91479,93015
97306,98393
98009,93519
91038,98291
95884,93043
92659,98707
96350,93494
96147,91707
94614,95984
99648,95948
93570,94928
99007,90658
99461,99258
99334,93861
96983,94583
93804,97647
93550,96118
97611,95850
95951,98652
94474,93619
99354,94282
99751,90666
93581,99985
90306,93234
91036,98288
95011,95744
91257,95441
94413,95243
96482,92406
90834,95279
99105,90655
96365,95479
90382,93616
95189,90902
99511,94350
99656,92183
97884,90246
98826,95928
92237,93006
91480,93241
96378,99058
90260,98780
95845,95980
95778,91695
99987,93410
96238,95250
98714,96935
94307,90821
92742,90183
96868,93235
98938,90237
99245,97883
99199,93306
92089,98885
97679,95241
97989,98584
91525,90108
90925,92437
95576,97505
93490,90370
90663,93557
93165,92474
97858,97090
92489,99961
92981,94569
90580,91501
91626,97869
99145,95897
91575,96184
94864,93518
96988,93337
96817,95706
97861,91187
94916,93103
94782,94243
91187,95732
91339,99732
95923,96865
93745,90974
97926,99884
91940,94131
95000,97943
93741,95041
90272,95728
92386,99974
91278,95697
90009,97505
93403,99671
91934,94470
96508,91960
90848,93119
92018,90836
99800,96456
99571,97175
91365,98819
97348,97405
98537,91689
91553,99569
93463,95940
98177,99609
92688,90814
92439,90028
92882,90166
90561,90110
92822,95648
99628,94095
97768,93195
93841,98482
95414,92057
91697,97949
93448,97261
95809,98682
99375,94421
96049,98172
98121,95907
98269,92068
98906,90374
90415,95416
98854,93357
91888,90430
98904,94691
95176,99734
90653,98862
93590,90877
91592,97292
98479,95514
99211,94118
96630,97640
97661,92962
98389,91382
98879,93433
92354,95789
95733,99995
98361,98411
93978,97735
94397,93551
92202,98240
95365,95092
90295,96428
93786,97124
93407,92521
98655,95830
98015,91727
92301,94274
96184,99051
98538,98865
98946,98544
90883,95585
98540,97643
92653,93885
90215,91506
92693,90586
93703,99910
96232,91355
98114,98597
94384,92187
98681,99045
96277,97964
94715,91582
99920,91900
96715,93103
92998,98581
91679,90468
98455,98613
90705,93599
92338,99752
93506,98783
96324,93684
94753,95506
94402,92026
95054,98029
93491,99988
99216,96733
95383,91616
93079,97089
97914,91569
91909,97657
97270,94825
91003,97445
92477,92333
99524,92316
92809,91763
97326,99200
94517,96567
97857,99578
98662,95484
96174,90380
93171,97762
94191,98870
92267,97832
92460,98612
95172,91172
93963,99978
95302,99400
94214,98786
99415,90866
91963,99466
94144,91353
92430,97169
98984,92357
90771,94940
94233,92328
90311,93991
90246,95550
92078,99575
96138,91946
97806,93515
91438,91042
90713,92541
93599,93446
99634,90299
98846,99935
99588,97209
99308,90609
95188,96856
98244,96465
98797,98361
97099,94631
93068,94510
95311,91731
93960,99617
94996,92924
92002,96927
93949,93429
99126,95114
91385,93360
97256,98260
93547,96886
91334,98762
97702,93800
95098,93874
94786,95837
93667,97769
93550,90788
91229,92869
92243,91406
97443,99594
91674,99797
96517,93020
99391,99941
93334,96095
96070,90484
99476,95092
99813,92701
95498,92867
93039,99927
99048,99749
96318,97819
91816,97790
98025,97257
98415,96327
90981,91839
95159,93198
91106,93798
90219,93342
95206,93455
90368,95500
93521,91654
91884,91464
93546,98815
92109,95539
98476,98291
97326,94933
98964,96599
99532,97381
95269,90473
95808,91009
93859,96842
99877,92371
99337,96169
98136,98608
99855,98441
90814,98341
94610,96825
95032,99792
92436,95910
95032,93383
92260,94468
99175,97169
98452,90418
95309,94227
90011,91543
93841,99545
99921,98447
95294,92177
95582,97001
97859,92454
93103,91265
97955,92983
90725,91597
97397,99168
95690,96669
92134,98461
99622,92266
90479,93403
90495,92044
98719,99697
97004,91834
90543,94004
97698,98324
92206,92820
98665,97168
92719,95048
92282,91395
94269,92453
91471,97177
95111,97453
90315,95989
91295,95817
92177,96233
99209,98776
97020,93922
91034,98702
93102,90795
90498,91763
99706,93073
93153,99022
90502,91555
93529,92050
97432,91275
98116,90404
95592,95811
97271,94051
97365,94538
97136,96955
93313,95631
98315,90181
91047,95925
96034,95309
99349,91249
94136,94517
92469,96319
98450,91281
99771,99567
93431,97803
94956,90985
93787,96405
93341,94740
96535,97832
97740,93010
96859,99049
98050,92901
90908,97265
92548,98224
99633,96221
96894,94356
93761,95487
94934,91763
91166,99798
92152,99436
90469,92242
90001,96075
91823,90966
91081,97462
99030,92149
99399,94572
91527,94534
94761,99300
97014,99391
94565,99879
93531,99755
92766,96497
93839,97804
99107,98302
93582,98005
96353,97186
95584,94258
98911,98914
98970,96186
90619,96537
90161,96758
90155,95713
92392,91779
91364,90726
98429,99723
94048,98717
96609,94533
91012,94154
97110,96836
92022,92887
90092,94504
99950,97782
94957,97159
92280,95493
99725,94494
98369,96264
94539,93455
91847,95545
96620,94373
95854,91238
90526,99608
95164,99945
96709,98324
99638,92688
93936,93795
91634,92441
90286,95669
95157,92145
98228,98357
92632,90247
96648,93442
94232,99178
91843,91077
99153,93516
96289,99636
96151,92846
95090,91815
